bank_id,date,amount,description
TXN-1014,2026-08-15,121.92,Standard Merchant Payment #14
BANK-REF-40,2026-08-01,148.84,UBER *TRIP 8923 SAN FRANCISCO
TXN-1031,2026-08-14,490.7,STRIPE PAYOUT REF #31
BANK-ERR-51,2026-08-26,125.5,UNIDENTIFIED WIRE TRANSFER REF-51
TXN-1018,2026-08-19,271.88,Standard Merchant Payment #18
BANK-ERR-54,2026-08-26,125.5,UNIDENTIFIED WIRE TRANSFER REF-54
TXN-1027,2026-08-10,193.67,STRIPE PAYOUT REF #27
TXN-1026,2026-08-09,620.05,STRIPE PAYOUT REF #26
TXN-1033,2026-08-16,95.63,STRIPE PAYOUT REF #33
TXN-1020,2026-08-01,159.79,Standard Merchant Payment #20
TXN-1013,2026-08-14,419.57,Standard Merchant Payment #13
TXN-1005,2026-08-06,94.89,Standard Merchant Payment #5
BANK-REF-38,2026-08-19,56.37,SBUX STORE 09482 SEATTLE WA
TXN-1009,2026-08-10,308.54,Standard Merchant Payment #9
TXN-1004,2026-08-05,307.36,Standard Merchant Payment #4
TXN-1007,2026-08-08,47.88,Standard Merchant Payment #7
BANK-REF-42,2026-08-03,163.7,SLACK T1234567 SAN FRANCISCO
BANK-ERR-52,2026-08-26,125.5,UNIDENTIFIED WIRE TRANSFER REF-52
BANK-ERR-53,2026-08-26,125.5,UNIDENTIFIED WIRE TRANSFER REF-53
TXN-1016,2026-08-17,108.03,Standard Merchant Payment #16
TXN-1010,2026-08-11,359.87,Standard Merchant Payment #10
TXN-1017,2026-08-18,166.04,Standard Merchant Payment #17
TXN-1025,2026-08-08,380.38,STRIPE PAYOUT REF #25
TXN-1035,2026-08-18,751.47,STRIPE PAYOUT REF #35
TXN-1032,2026-08-15,172.43,STRIPE PAYOUT REF #32
TXN-1001,2026-08-02,199.78,Standard Merchant Payment #1
BANK-REF-45,2026-08-06,99.87,FIGMA *DESIGN SAN FRANCISCO CA
TXN-1028,2026-08-11,422.75,STRIPE PAYOUT REF #28
TXN-1034,2026-08-17,739.27,STRIPE PAYOUT REF #34
TXN-1006,2026-08-07,94.88,Standard Merchant Payment #6
TXN-1030,2026-08-13,82.08,STRIPE PAYOUT REF #30
TXN-1012,2026-08-13,485.56,Standard Merchant Payment #12
BANK-REF-37,2026-08-18,112.25,AWS EMEA AWS.AMAZON.COM WA
TXN-1002,2026-08-03,476.34,Standard Merchant Payment #2
TXN-1022,2026-08-05,149.84,STRIPE PAYOUT REF #22
TXN-1003,2026-08-04,371.36,Standard Merchant Payment #3
BANK-REF-44,2026-08-05,275.52,MAILCHIMP *MONTHLY ATLANTA GA
BANK-REF-36,2026-08-17,248.27,DEPOT_OFFICE_STORE_4421
TXN-1024,2026-08-07,315.05,STRIPE PAYOUT REF #24
BANK-REF-41,2026-08-02,62.95,ZOOM.US 888-799-9666 CA
TXN-1011,2026-08-12,29.88,Standard Merchant Payment #11
TXN-1023,2026-08-06,261.01,STRIPE PAYOUT REF #23
TXN-1019,2026-08-20,227.33,Standard Merchant Payment #19
BANK-ERR-55,2026-08-26,125.5,UNIDENTIFIED WIRE TRANSFER REF-55
TXN-1021,2026-08-04,493.83,STRIPE PAYOUT REF #21
TXN-1008,2026-08-09,435.76,Standard Merchant Payment #8
BANK-REF-43,2026-08-04,39.28,FEDEX 79482910 MEMPHIS TN
TXN-1015,2026-08-16,107.28,Standard Merchant Payment #15
TXN-1029,2026-08-12,479.68,STRIPE PAYOUT REF #29
BANK-REF-39,2026-08-20,214.74,GITHUB INC GITHUB.COM CA
