ledger_id,date,amount,description
TXN-1014,2026-08-15,121.92,Standard Merchant Payment #14
TXN-1040,2026-08-01,148.84,Uber Business Trip Transport
TXN-1031,2026-08-12,505.66,Card Sale Ref #31
TXN-1046,2026-08-25,450.0,Uncleared Internal Check #46
TXN-1018,2026-08-19,271.88,Standard Merchant Payment #18
TXN-1049,2026-08-25,450.0,Uncleared Internal Check #49
TXN-1027,2026-08-08,199.76,Card Sale Ref #27
TXN-1026,2026-08-07,638.88,Card Sale Ref #26
TXN-1033,2026-08-14,98.79,Card Sale Ref #33
TXN-1020,2026-08-01,159.79,Standard Merchant Payment #20
TXN-1013,2026-08-14,419.57,Standard Merchant Payment #13
TXN-1005,2026-08-06,94.89,Standard Merchant Payment #5
TXN-1038,2026-08-19,56.37,Starbucks Coffee Corporate Event
TXN-1009,2026-08-10,308.54,Standard Merchant Payment #9
TXN-1004,2026-08-05,307.36,Standard Merchant Payment #4
TXN-1007,2026-08-08,47.88,Standard Merchant Payment #7
TXN-1042,2026-08-03,163.7,Slack Technologies Team Plan
TXN-1047,2026-08-25,450.0,Uncleared Internal Check #47
TXN-1048,2026-08-25,450.0,Uncleared Internal Check #48
TXN-1016,2026-08-17,108.03,Standard Merchant Payment #16
TXN-1010,2026-08-11,359.87,Standard Merchant Payment #10
TXN-1017,2026-08-18,166.04,Standard Merchant Payment #17
TXN-1025,2026-08-06,392.05,Card Sale Ref #25
TXN-1035,2026-08-16,774.22,Card Sale Ref #35
TXN-1032,2026-08-13,177.89,Card Sale Ref #32
TXN-1001,2026-08-02,199.78,Standard Merchant Payment #1
TXN-1045,2026-08-06,99.87,Figma Professional License
TXN-1028,2026-08-09,435.68,Card Sale Ref #28
TXN-1034,2026-08-15,761.66,Card Sale Ref #34
TXN-1006,2026-08-07,94.88,Standard Merchant Payment #6
TXN-1030,2026-08-11,84.84,Card Sale Ref #30
TXN-1012,2026-08-13,485.56,Standard Merchant Payment #12
TXN-1037,2026-08-18,112.25,Amazon Web Services Cloud Infrastructure
TXN-1002,2026-08-03,476.34,Standard Merchant Payment #2
TXN-1022,2026-08-03,154.62,Card Sale Ref #22
TXN-1003,2026-08-04,371.36,Standard Merchant Payment #3
TXN-1044,2026-08-05,275.52,Mailchimp Email Marketing Plan
TXN-1036,2026-08-17,248.27,Office Depot Workspace Supplies
TXN-1024,2026-08-05,324.77,Card Sale Ref #24
TXN-1041,2026-08-02,62.95,Zoom Video Communications Plan
TXN-1011,2026-08-12,29.88,Standard Merchant Payment #11
TXN-1023,2026-08-04,269.11,Card Sale Ref #23
TXN-1019,2026-08-20,227.33,Standard Merchant Payment #19
TXN-1050,2026-08-25,450.0,Uncleared Internal Check #50
TXN-1021,2026-08-02,508.89,Card Sale Ref #21
TXN-1008,2026-08-09,435.76,Standard Merchant Payment #8
TXN-1043,2026-08-04,39.28,FedEx Express Courier Service
TXN-1015,2026-08-16,107.28,Standard Merchant Payment #15
TXN-1029,2026-08-10,494.31,Card Sale Ref #29
TXN-1039,2026-08-20,214.74,GitHub Enterprise Subscription
